opportunity_id,opportunity_number,opportunity_title,opportunity_status,agency_code,agency_name,top_level_agency_name,agency_contact_description,agency_email_address,category,category_explanation,funding_categories,funding_category_description,opportunity_assistance_listings,estimated_total_program_funding,award_ceiling,award_floor,expected_number_of_awards,funding_instruments,applicant_types,applicant_eligibility_description,is_cost_sharing,post_date,close_date,archive_date,forecasted_post_date,forecasted_close_date,forecasted_award_date,forecasted_project_start_date,fiscal_year,is_forecast,created_at,updated_at,url,additional_info_url,additional_info_url_description,summary_description

# Việt Nam - Quỹ Nafosted
nafosted-2018-basic-natural,NAFOSTED-CB-TN-2018,Tài trợ nghiên cứu cơ bản khoa học tự nhiên 2018,closed,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Khoa học,Tài trợ nghiên cứu cơ bản,Khoa học tự nhiên,Vật lý;Hóa học;Sinh học;Toán học,,,"",,,"grant","tổ chức nghiên cứu","Nhà khoa học tại Việt Nam",Không,2018-01-01,2018-03-31,,,2018-01-01,2018-03-31,,,2018,False,2018-01-01,2018-01-01,https://nafosted.gov.vn,,,"Tài trợ nghiên cứu cơ bản khoa học tự nhiên"
nafosted-2018-basic-social,NAFOSTED-CB-XH-2018,Tài trợ nghiên cứu cơ bản khoa học xã hội 2018,closed,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Khoa học xã hội,Tài trợ nghiên cứu cơ bản,Xã hội,Kinh tế;Luật;Xã hội học,,,"",,,"grant","tổ chức nghiên cứu","Nhà khoa học lĩnh vực xã hội",Không,2018-01-01,2018-03-31,,,2018-01-01,2018-03-31,,,2018,False,2018-01-01,2018-01-01,https://nafosted.gov.vn,,,"Tài trợ nghiên cứu cơ bản khoa học xã hội"
nafosted-2019-basic-natural,NAFOSTED-CB-TN-2019,Tài trợ nghiên cứu cơ bản khoa học tự nhiên 2019,closed,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Khoa học,Tài trợ nghiên cứu cơ bản,Khoa học tự nhiên,Vật lý;Hóa học;Sinh học;Toán học,,,"",,,"grant","tổ chức nghiên cứu","Nhà khoa học tại Việt Nam",Không,2019-01-01,2019-03-31,,,2019-01-01,2019-03-31,,,2019,False,2019-01-01,2019-01-01,https://nafosted.gov.vn,,,"Tài trợ nghiên cứu cơ bản khoa học tự nhiên"
nafosted-2025-basic-natural,NAFOSTED-CB-TN-2025,Nghiên cứu cơ bản khoa học tự nhiên 2025,open,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Khoa học,Tài trợ nghiên cứu cơ bản,Khoa học tự nhiên,Vật lý;Hóa học;Sinh học;Toán học,,,"",,,"grant","tổ chức nghiên cứu","Nhà khoa học tại Việt Nam",Không,2025-01-01,2025-03-30,,,2025-01-01,2025-03-30,,,2025,False,2025-01-01,2025-01-01,https://nafosted.gov.vn,,,"Tài trợ nghiên cứu cơ bản khoa học tự nhiên"
nafosted-2025-basic-social,NAFOSTED-CB-XH-2025,Nghiên cứu cơ bản khoa học xã hội 2025,open,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Khoa học xã hội,Tài trợ nghiên cứu cơ bản,Xã hội,Kinh tế;Xã hội học;Tâm lý học;Luật,,,"",,,"grant","tổ chức nghiên cứu","Nhà khoa học lĩnh vực xã hội",Không,2025-01-01,2025-03-30,,,2025-01-01,2025-03-30,,,2025,False,2025-01-01,2025-01-01,https://nafosted.gov.vn,,,"Tài trợ nghiên cứu cơ bản khoa học xã hội"
nafosted-2025-applied,NAFOSTED-UD-2025,Tài trợ nghiên cứu ứng dụng năm 2025,open,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Công nghệ,Tài trợ nghiên cứu ứng dụng,Khoa học tự nhiên;Kỹ thuật;Y dược;Nông nghiệp;Xã hội,Nghiên cứu ứng dụng,,,"",,,"grant","tổ chức;nhà khoa học","Tổ chức và cá nhân tại Việt Nam",Không,2025-05-20,2025-06-30,,,2025-05-20,2025-06-30,,,2025,False,2025-05-20,2025-05-20,https://nafosted.gov.vn/thong-bao-ke-hoach-tai-tro-nghien-cuu-ung-dung-nam-2025/,,,"Chương trình tài trợ nghiên cứu ứng dụng"
nafosted-fwo,NAFOSTED-FWO,Hợp tác nghiên cứu Việt Nam – Bỉ (FWO),closed,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Hợp tác quốc tế,Tài trợ hợp tác nghiên cứu,Tất cả lĩnh vực,Hợp tác quốc tế,,,"",,,"grant","nhóm nghiên cứu","Nhóm nghiên cứu Việt Nam và Bỉ",Không,2025-06-01,2025-09-30,,,2025-06-01,2025-09-30,,,2025,False,2025-06-01,2025-06-01,https://www.fwo.be,,,"Chương trình hợp tác nghiên cứu Việt Nam - Bỉ"
nafosted-snsf,NAFOSTED-SNSF,Hợp tác nghiên cứu Việt Nam – Thụy Sĩ,closed,NAFOSTED,Quỹ Phát triển Khoa học và Công nghệ Quốc gia,Bộ Khoa học và Công nghệ,,nafosted@most.gov.vn,Hợp tác quốc tế,Tài trợ hợp tác nghiên cứu,Tất cả lĩnh vực,Hợp tác quốc tế,,,"",,,"grant","nhóm nghiên cứu","Nhóm nghiên cứu Việt Nam và Thụy Sĩ",Không,2025-01-01,2025-01-15,,,2025-01-01,2025-01-15,,,2025,False,2025-01-01,2025-01-01,https://www.snf.ch,,,"Chương trình hợp tác nghiên cứu Việt Nam - Thụy Sĩ"

# Châu Âu - Horizon Europe là chương trình tài trợ nghiên cứu lớn nhất EU (2021–2027)
